SEDE_CODIGO;PERIODO_ID;PERIODO_ANIO;CARACTER_ID;CARACTER_CODIGO;CARACTER_NOMBRE
105001000001;5;2018;1;01;Académico
105001000027;5;2018;1;01;Académico
105001000043;5;2018;1;01;Académico
105001000078;5;2018;1;01;Académico
105001000094;5;2018;1;01;Académico
105001000108;5;2018;2;02;Técnico
105001000132;5;2018;1;01;Académico
105001000141;5;2018;1;01;Académico
105001000141;5;2018;2;02;Técnico
105001000159;5;2018;1;01;Académico
105001000175;5;2018;1;01;Académico
105001000175;5;2018;2;02;Técnico
105001000183;5;2018;1;01;Académico
105001000191;5;2018;1;01;Académico
105001000205;5;2018;1;01;Académico
105001000213;5;2018;1;01;Académico
105001000221;5;2018;1;01;Académico
105001000230;5;2018;1;01;Académico
105001000256;5;2018;1;01;Académico
105001000272;5;2018;1;01;Académico
105001000299;5;2018;1;01;Académico
105001000302;5;2018;1;01;Académico
105001000311;5;2018;1;01;Académico
105001000345;5;2018;1;01;Académico
105001000353;5;2018;1;01;Académico
105001000396;5;2018;1;01;Académico
105001000418;5;2018;1;01;Académico
105001000418;5;2018;2;02;Técnico
105001000477;5;2018;1;01;Académico
105001000485;5;2018;1;01;Académico
105001000485;5;2018;2;02;Técnico
105001000493;5;2018;1;01;Académico
105001000493;5;2018;2;02;Técnico
105001000515;5;2018;1;01;Académico
105001000540;5;2018;1;01;Académico
105001000566;5;2018;1;01;Académico
105001000621;5;2018;1;01;Académico
105001000639;5;2018;1;01;Académico
105001000698;5;2018;1;01;Académico
105001000710;5;2018;1;01;Académico
105001000761;5;2018;1;01;Académico
105001000795;5;2018;1;01;Académico
105001000795;5;2018;2;02;Técnico
105001000809;5;2018;1;01;Académico
105001000809;5;2018;2;02;Técnico
105001000841;5;2018;1;01;Académico
105001000841;5;2018;2;02;Técnico
105001000850;5;2018;1;01;Académico
105001000868;5;2018;1;01;Académico
105001000876;5;2018;1;01;Académico
105001000906;5;2018;1;01;Académico
105001000922;5;2018;1;01;Académico
105001000931;5;2018;1;01;Académico
105001000931;5;2018;2;02;Técnico
105001000957;5;2018;1;01;Académico
105001000981;5;2018;1;01;Académico
105001000990;5;2018;1;01;Académico
105001000990;5;2018;2;02;Técnico
105001001015;5;2018;1;01;Académico
105001001023;5;2018;1;01;Académico
105001001058;5;2018;1;01;Académico
105001001112;5;2018;1;01;Académico
105001001121;5;2018;2;02;Técnico
105001001139;5;2018;1;01;Académico
105001001147;5;2018;1;01;Académico
105001001155;5;2018;1;01;Académico
105001001163;5;2018;1;01;Académico
105001001171;5;2018;1;01;Académico
105001001198;5;2018;1;01;Académico
105001001236;5;2018;1;01;Académico
105001001236;5;2018;2;02;Técnico
105001001252;5;2018;1;01;Académico
105001001252;5;2018;2;02;Técnico
105001001279;5;2018;1;01;Académico
105001001317;5;2018;1;01;Académico
105001001325;5;2018;1;01;Académico
105001001333;5;2018;1;01;Académico
105001001341;5;2018;1;01;Académico
105001001368;5;2018;1;01;Académico
105001002976;5;2018;1;01;Académico
105001003093;5;2018;1;01;Académico
105001003123;5;2018;1;01;Académico
105001003131;5;2018;1;01;Académico
105001003158;5;2018;1;01;Académico
105001003182;5;2018;1;01;Académico
105001003221;5;2018;1;01;Académico
105001003221;5;2018;2;02;Técnico
105001003247;5;2018;1;01;Académico
105001003255;5;2018;1;01;Académico
105001003255;5;2018;2;02;Técnico
105001003271;5;2018;1;01;Académico
105001003280;5;2018;1;01;Académico
105001003280;5;2018;2;02;Técnico
105001003298;5;2018;1;01;Académico
105001003298;5;2018;2;02;Técnico
105001003310;5;2018;1;01;Académico
105001003352;5;2018;1;01;Académico
105001003361;5;2018;1;01;Académico
